So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000200,5.4,5.5,4.4,-1.0,-1.0,-1.0,-1.0,3.5,5.75,6.75,5.33,6
3000201,5.6,2.75,2.8,-1.0,-1.0,-1.0,-1.0,4.25,5.75,6.75,5.58,6
3000202,4.8,6.0,5.8,-1.0,-1.0,-1.0,-1.0,5.75,7.0,8.5,7.08,6
3000203,8.2,5.5,3.6,6.75,6.0,3.25,5.33,-1.0,-1.0,-1.0,-1.0,6
3000204,8.0,6.0,6.8,5.5,5.5,3.75,4.92,-1.0,-1.0,-1.0,-1.0,6
3000205,8.2,5.75,4.4,8.0,8.0,4.5,6.83,-1.0,-1.0,-1.0,-1.0,6
3000206,6.2,6.25,5.6,-1.0,-1.0,-1.0,-1.0,4.75,5.75,7.75,6.08,6
3000207,5.8,3.75,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.25,-1.0,-1.0,4
3000208,8.4,6.75,8.4,4.5,6.25,4.0,4.92,-1.0,-1.0,-1.0,-1.0,6
3000209,2.4,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.0,-1.0,-1.0,4
3000210,6.8,6.5,3.2,3.5,4.5,5.0,4.33,-1.0,-1.0,-1.0,-1.0,6
3000211,7.8,6.5,5.6,-1.0,-1.0,-1.0,-1.0,5.0,5.0,8.75,6.25,6
3000212,4.8,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,7.25,-1.0,-1.0,4
3000213,7.4,6.75,2.6,-1.0,-1.0,-1.0,-1.0,5.75,6.25,8.25,6.75,6
3000214,7.6,7.25,4.2,-1.0,-1.0,-1.0,-1.0,4.25,7.0,9.5,6.92,6
3000215,6.2,6.75,7.2,5.25,4.5,5.75,5.17,-1.0,-1.0,-1.0,-1.0,6
3000216,5.2,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,6.5,-1.0,-1.0,4
3000217,7.8,4.75,2.6,-1.0,-1.0,-1.0,-1.0,5.5,8.0,8.0,7.17,6
